2022-23 Social Accounting Matrix for India,Code,amaiz,arice,aocer,apuls,aoils,aroot,avege,asugr,atoba,acott,afrui,acoff,aocrp,acatt,apoul,aoliv,afore,afish,amine,afood,abeve,atext,awood,achem,anmet,ametl,amach,aoman,aelec,awatr,acons,atrad,atran,ahotl,acomm,afsrv,areal,absrv,apadm,aeduc,aheal,aosrv,cmaiz,crice,cocer,cpuls,coils,croot,cvege,csugr,ctoba,ccott,cfrui,ccoff,cocrp,ccatt,cpoul,coliv,cfore,cfish,cmine,cfood,cbeve,ctext,cwood,cchem,cnmet,cmetl,cmach,coman,celec,cwatr,ccons,ctrad,ctran,chotl,ccomm,cfsrv,creal,cbsrv,cpadm,ceduc,cheal,cosrv,trc,flab-n,flab-p,flab-s,flnd,fcap,ent,hhd-r1,hhd-r2,hhd-r3,hhd-r4,hhd-r5,hhd-u1,hhd-u2,hhd-u3,hhd-u4,hhd-u5,gov,atax,dtax,mtax,stax,s-i,dstk,row,total
Commodities - Roots,croot,,,,,,53.96071208,,,,,,,,,,,,,,17.1498247,,,0.197485332,1.374236738,,,,0.226822177,,,,,,89.60075594,,,,,15.88006644,,,0.100514514,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,164.2518366,186.2304324,181.6214538,172.676985,113.2743072,15.56984732,29.37435734,48.78739011,81.12907199,161.5018201,,,,,,,3.919520088,33.1412651,1369.968705
Commodities - Vegetables,cvege,,,,,,,159.4855098,,,,,,,197.1043828,,61.20719014,,,,53.7957558,0.119151427,,0.555808528,4.318518954,,,,0.760105927,,,,,,241.692032,,,,,42.83447948,,,0.282884205,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,403.6011774,491.7606729,535.5134282,575.4542173,393.3981395,41.84187862,86.05809068,159.0023414,297.3177505,675.1499849,,,,,,,15.8993393,105.4178281,4542.570668
Commodities - Sugarcane,csugr,,,,,,,,48.23895854,,,,,,,,,,,,1547.356526,0.78613022,,,0.162752323,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,63.8063844,71.20213342,96.35178744,132.8156354,98.03996455,6.450702292,12.47845521,26.61934511,54.8146757,111.4127372,,,,,,,2.534756452,0.908520836,2273.979465
Commodities - Tobacco,ctoba,,,,,,,,,5.783558809,,,,,,,,,,,,,15.15594215,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.44215578,28.78556834,27.34021544,23.52602459,11.23758363,1.377797347,2.74621015,3.759003814,5.95952743,7.501587176,,,,,,,,,161.6151747
Commodities - Cotton and fibres,ccott,,,,,,,,,,75.86047404,,,,,,,,,,1.179780228,,1797.773482,,4.720884703,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.853949934,2.310382306,1884.698953
Commodities - Fruits and nuts,cfrui,,,,,,,,,,,88.00648842,,,,,,,,,240.0971977,4.479196463,6.294825618,1.864445346,13.66490091,0.185947771,1.247834259,0.047048702,0.97169714,15.88444297,,,,,30.70703824,,,,,43.75045512,,,0.438137083,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,352.1396562,567.6424872,703.5181197,852.8877862,701.7580391,38.70148583,95.56833584,205.4657453,451.605694,1401.996865,,,,,,,10.11605029,147.5454597,5976.58538
"Commodities - Coffee, tea and cocoa",ccoff,,,,,,,,,,,,9.732229586,,,,,,,,326.3204227,0.018443459,,0.063054327,0.295395281,,,,,0.584005798,,,,,,,,,,0.878544687,,,0.092012239,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.349735943,72.11351111,411.4473551
Commodities - Other crops,cocrp,,,,,,,,,,,,,346.6991333,913.2708177,190.1148803,275.5376576,,,,531.9346639,1.717884804,6.464136702,14.80147673,76.44187684,1.458275694,10.21946797,2.217364327,160.9111052,123.9496019,,,,,,,,,,194.8489814,,,3.436260941,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,250.9264885,309.3720034,350.4852594,394.7015602,285.8368252,24.7676867,52.36525731,100.7817847,196.958495,485.7088759,,,,,,,146.7515474,177.3384954,5630.017864
Commodities - Cattle and raw milk,ccatt,,,,,,,,,,,,,,96.08643855,,30.75997763,,,,1639.084478,0.042514284,,,0.277119955,,,,,,,,,,2105.339945,,,,,498.7441904,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42.28238404,,4412.617048
Commodities - Poultry and eggs,cpoul,,,,,,,,,,,,,,,151.8209972,,,123.4913164,,35.40093969,,,,0.836163541,,,,,,,,,,66.97384776,,,,,464.1433015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,227.5976218,293.8159364,303.9747418,327.7915631,219.8888175,23.18893935,50.55899539,89.07325464,164.1314374,349.5967922,,,,,,,36.70997888,8.881954518,2937.876599
